system:index,coordinates,dem_0,.geo
169,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,,83,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,,92,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,,87,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,,84,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,,82,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,,94,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,,88,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,,85,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,,79,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,,81,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,,80,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,,78,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,,77,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,,72,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,,76,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,,70,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,,69,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,,73,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,,64,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,,68,"{""type"":""MultiPoint"",""coordinates"":[]}"
