system:index,dem_0,ir_0,ir_1,ir_2,.geo
118,76,2397.0,2169.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33378938309463,26.802449227339487]}"
119,76,2633.0,2236.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23650183782448,26.802718721924723]}"
120,77,2566.0,1692.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30360598954822,26.802718721924723]}"
121,75,2644.0,1918.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31896718090665,26.802718721924723]}"
122,79,2422.0,2535.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.37556104380619,26.806491646118026]}"
123,86,2030.0,2324.0,3060.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36424227122627,26.81053406489656]}"
124,77,2670.0,2513.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44266519552991,26.54076998507547]}"
125,75,2475.0,2498.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4741960620025,26.54589038219495]}"
126,78,2699.0,2777.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45964335439977,26.546429371365424]}"
127,79,2320.0,2366.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48201140497434,26.549663306388254]}"
128,76,1026.0,663.0,3018.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44293469011515,26.556939660189624]}"
129,76,2777.0,2156.5,3044.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.52405256027114,26.559904100627218]}"
130,79,2885.5,2662.0,3037.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50896086349793,26.56556348691717]}"
131,78,2628.0,2314.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5192016577369,26.56744994901382]}"
132,76,2389.0,2342.0,3054.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4688061702978,26.567988938184293]}"
133,75,2502.0,2406.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44832458181986,26.569875400280942]}"
134,72,673.0,417.0,3013.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49629461799185,26.57068388403665]}"
135,77,2609.0,2828.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50815237974223,26.57149236779236]}"
136,74,1067.0,679.0,3020.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4981810800885,26.577151754082312]}"
137,74,2216.0,2196.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46395526776355,26.577690743252784]}"
138,80,2691.0,2594.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44212620635945,26.588470526662217]}"
139,77,2655.0,2433.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50168450969656,26.59412991295217]}"
140,78,2360.0,2166.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43296339046142,26.594668902122642]}"
141,79,2559.0,2530.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46072133274072,26.59655536421929]}"
142,82,2439.0,2133.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42487855290435,26.597902837145472]}"
143,77,2942.0,3059.0,3058.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44320418470039,26.59871132090118]}"
144,77,3066.0,3025.0,3055.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45209750601317,26.599519804656886]}"
145,78,2777.0,3037.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43997024967756,26.60194525592401]}"
146,78,2035.0,1749.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5057269284751,26.607335147628728]}"
147,79,2583.0,2102.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4650332461045,26.609491104310614]}"
148,77,2438.0,2446.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49764209091803,26.616767458111983]}"
149,79,2746.0,2236.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50464895013415,26.616767458111983]}"
150,76,2297.0,2402.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46179931108166,26.61946240396434]}"
151,71,2367.0,1622.0,3007.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.54965454586855,26.622426844401936]}"
152,78,2514.0,2413.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48901826419048,26.623235328157644]}"
153,86,2366.0,1967.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50437945554893,26.62350482274288]}"
154,79,2397.0,2534.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43538884172854,26.62619976859524]}"
155,78,2631.0,2465.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46476375151926,26.62808623069189]}"
156,79,2641.0,2698.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41221230739826,26.62862521986236]}"
157,78,2458.0,2187.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46018234357024,26.634015111567077]}"
158,81,2267.0,2130.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58414985277874,26.634823595322786]}"
159,70,2343.0,2569.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40924786696067,26.635362584493258]}"
160,79,2358.0,1622.0,3029.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43161591753524,26.64937630292552]}"
161,78,2817.0,2736.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41463775866538,26.649645797510757]}"
162,78,2396.0,2399.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39685111603981,26.65395771087453]}"
163,78,2652.0,2591.0,3034.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40089353481835,26.65853911882354]}"
164,80,2286.0,2429.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56636321015317,26.66258153760208]}"
165,77,2526.0,2556.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40547494276737,26.662851032187312]}"
166,82,2264.0,2256.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.598163571211,26.669049407647737]}"
