system:index,dem_0,.geo
104,71,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.54966943284609,26.62242188207609]}"
105,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46181419805919,26.619457441638495]}"
106,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49765697789559,26.616762495786134]}"
107,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5046638371117,26.616762495786134]}"
108,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46504813308206,26.609486141984767]}"
109,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50574181545267,26.607330185302878]}"
110,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43998513665508,26.60194029359816]}"
111,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45211239299073,26.59951484233104]}"
112,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44321907167796,26.598706358575328]}"
113,82,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42462394529667,26.597897874819623]}"
114,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46073621971829,26.596550401893445]}"
115,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43297827743896,26.594663939796796]}"
116,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5016993966741,26.594124950626323]}"
117,80,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.442141093337,26.588465564336367]}"
118,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4639701547411,26.577685780926934]}"
119,74,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49819596706607,26.577146791756462]}"
120,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5081672667198,26.571487405466506]}"
121,72,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49604001038415,26.5706789217108]}"
122,77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44833946879743,26.569870437955096]}"
123,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46882105727536,26.567983975858446]}"
124,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.51921654471442,26.567444986687974]}"
125,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50897575047549,26.565558524591317]}"
126,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.52406744724868,26.55989913830137]}"
127,76,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44294957709269,26.556934697863774]}"
128,79,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48202629195191,26.549658344062408]}"
129,78,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45965824137733,26.546424409039574]}"
130,75,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47421094898004,26.5458854198691]}"
