system:index,dem_0,ir_0,ir_1,ir_2,.geo
44,77,2462.0,1685.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28878378736025,26.838292007175856]}"
45,79,2758.0,2298.0,3015.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25186302918293,26.839639480102036]}"
46,83,2457.0,2371.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16454678356651,26.84583785556246]}"
47,76,2796.0,2268.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23919678367685,26.846376844732934]}"
48,77,2657.0,2273.0,3009.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3898442568237,26.857156628142366]}"
49,80,2581.0,2598.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23623234323925,26.85769561731284]}"
50,80,2523.0,2580.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38310689219279,26.86200753067661]}"
51,79,2428.0,2445.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24458667538156,26.869553379063216]}"
52,80,2582.0,2475.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24216122411444,26.874943270767933]}"
53,86,2237.0,2215.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29713811950255,26.878716194961235]}"
54,81,2927.0,2676.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24377819162585,26.882219624569302]}"
55,80,2791.0,2949.0,3020.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38445436511897,26.883028108325007]}"
56,81,2810.0,2682.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2389272890916,26.88760951627402]}"
57,78,2541.0,2330.0,3024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23704082699496,26.891651935052558]}"
58,76,2171.0,1173.5,2966.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38714931097132,26.8927299133935]}"
59,81,2325.0,2347.0,3021.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2696496718085,26.912403018115718]}"
60,78,2487.0,1920.5,2999.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32678252387849,26.912942007286187]}"
61,80,2487.5,2029.0,3007.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27450057434274,26.962529010969586]}"
62,85,2824.0,2303.0,3008.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30468396788916,27.004031177095907]}"
63,100,2473.0,1877.0,3009.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31573324588382,27.032328108545673]}"
64,77,2670.0,2513.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44266519552991,26.54076998507547]}"
65,75,2475.0,2498.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4741960620025,26.54589038219495]}"
66,78,2699.0,2777.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45964335439977,26.546429371365424]}"
67,79,2320.0,2366.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48201140497434,26.549663306388254]}"
68,76,1026.0,663.0,3018.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44293469011515,26.556939660189624]}"
69,76,2777.0,2156.5,3044.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.52405256027114,26.559904100627218]}"
70,79,2885.5,2662.0,3037.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50896086349793,26.56556348691717]}"
71,78,2628.0,2314.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5192016577369,26.56744994901382]}"
72,76,2389.0,2342.0,3054.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4688061702978,26.567988938184293]}"
73,75,2502.0,2406.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44832458181986,26.569875400280942]}"
74,72,673.0,417.0,3013.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49629461799185,26.57068388403665]}"
75,77,2609.0,2828.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50815237974223,26.57149236779236]}"
76,74,1067.0,679.0,3020.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4981810800885,26.577151754082312]}"
77,74,2216.0,2196.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46395526776355,26.577690743252784]}"
78,80,2691.0,2594.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44212620635945,26.588470526662217]}"
79,77,2655.0,2433.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50168450969656,26.59412991295217]}"
80,78,2360.0,2166.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43296339046142,26.594668902122642]}"
81,79,2559.0,2530.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46072133274072,26.59655536421929]}"
82,82,2439.0,2133.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42487855290435,26.597902837145472]}"
83,77,2942.0,3059.0,3058.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44320418470039,26.59871132090118]}"
84,77,3066.0,3025.0,3055.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45209750601317,26.599519804656886]}"
85,78,2777.0,3037.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43997024967756,26.60194525592401]}"
86,78,2035.0,1749.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5057269284751,26.607335147628728]}"
87,79,2583.0,2102.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4650332461045,26.609491104310614]}"
88,77,2438.0,2446.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49764209091803,26.616767458111983]}"
89,79,2746.0,2236.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50464895013415,26.616767458111983]}"
90,76,2297.0,2402.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46179931108166,26.61946240396434]}"
91,71,2367.0,1622.0,3007.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.54965454586855,26.622426844401936]}"
92,78,2514.0,2413.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48901826419048,26.623235328157644]}"
93,86,2366.0,1967.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50437945554893,26.62350482274288]}"
94,79,2397.0,2534.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43538884172854,26.62619976859524]}"
95,78,2631.0,2465.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46476375151926,26.62808623069189]}"
96,79,2641.0,2698.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41221230739826,26.62862521986236]}"
97,78,2458.0,2187.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46018234357024,26.634015111567077]}"
98,81,2267.0,2130.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58414985277874,26.634823595322786]}"
99,70,2343.0,2569.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40924786696067,26.635362584493258]}"
100,79,2358.0,1622.0,3029.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43161591753524,26.64937630292552]}"
101,78,2817.0,2736.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41463775866538,26.649645797510757]}"
102,78,2396.0,2399.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39685111603981,26.65395771087453]}"
103,78,2652.0,2591.0,3034.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40089353481835,26.65853911882354]}"
104,80,2286.0,2429.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56636321015317,26.66258153760208]}"
105,77,2526.0,2556.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40547494276737,26.662851032187312]}"
106,82,2264.0,2256.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.598163571211,26.669049407647737]}"
107,80,2317.0,2253.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.57444804771025,26.68441059900618]}"
108,79,2429.0,2606.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5485765675276,26.685488577347126]}"
109,74,2479.0,1868.0,3011.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44077873343326,26.687914028614248]}"
110,74,2556.0,2039.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4485940764051,26.68845301778472]}"
111,76,2070.0,1944.0,3036.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.51273378769123,26.690069985296134]}"
112,74,1373.0,403.0,2967.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44455165762656,26.693842909489437]}"
113,81,2549.0,2231.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.58280237985257,26.69438189865991]}"
114,81,2483.0,2743.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45209750601317,26.69572937158609]}"
115,78,2184.0,2560.0,3048.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.47823848078104,26.70084976870557]}"
116,85,2290.0,2196.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.56151230761893,26.712977025041184]}"
117,77,2131.0,2334.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41787169368821,26.717288938404955]}"
118,77,2364.0,2290.0,3023.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39712061062505,26.72160085176873]}"
119,79,2114.0,2006.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4162547261768,26.722678830109675]}"
120,82,2233.0,2361.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.53105941948728,26.72348731386538]}"
121,83,2059.0,2171.0,3025.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43026844460907,26.72564327054727]}"
122,101,2484.0,1346.0,2998.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46099082732596,26.727799227229156]}"
123,80,2160.0,2238.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4275734987567,26.73076366766675]}"
124,84,2449.0,2203.0,3034.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49333017755426,26.736423053956702]}"
125,69,1141.0,454.0,2959.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.402779996915,26.738848505223825]}"
126,84,2100.0,2329.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42514804748959,26.73992648356477]}"
127,85,2186.0,1728.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43916176592185,26.741273956490947]}"
128,77,1968.0,2156.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.41571573700632,26.743429913172836]}"
129,80,2569.0,2223.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5561224159142,26.74639435361043]}"
130,98,2377.0,1457.0,2997.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46395526776355,26.748819804877552]}"
131,83,2324.0,1888.0,3012.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.40709191027878,26.755826664093686]}"
132,83,2426.0,2511.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49333017755426,26.7574436316051]}"
133,81,2420.0,2359.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43377187421713,26.75798262077557]}"
134,88,2092.0,2090.0,3017.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46530274068972,26.758252115360808]}"
135,80,2286.0,2288.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.52513053861209,26.758252115360808]}"
136,94,2536.0,1589.0,3005.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44913306557558,26.768492909599768]}"
137,80,2336.0,1972.0,3025.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5154287335436,26.771457350037362]}"
138,81,2312.0,2405.0,3032.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.53240689241345,26.780350671350146]}"
139,82,2238.0,2334.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.39739010521029,26.786818541395807]}"
140,85,2202.0,2153.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49252169379855,26.811073054067034]}"
141,79,2553.0,2605.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26318180176284,26.555592187263443]}"
142,78,2828.0,2875.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35615743366921,26.56098207896816]}"
143,82,2903.0,2770.0,3051.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17936898575448,26.577151754082312]}"
144,81,2817.0,2655.0,3049.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31492476212811,26.579307710764198]}"
145,76,2792.0,2486.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29417367906495,26.602753739679716]}"
146,83,2619.0,2569.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24593414830774,26.604101212605897]}"
147,75,3271.0,3107.0,3053.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32732151304897,26.61622846894151]}"
148,74,2664.0,2070.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33783180187316,26.631589660299955]}"
149,75,2507.0,2280.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30064154911062,26.637518541175144]}"
150,81,2569.0,1879.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18341140453302,26.641560959953683]}"
151,81,2689.0,2363.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23784931075066,26.648298324584577]}"
152,75,1728.0,1368.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27854299312128,26.6507237758517]}"
153,82,2581.0,2691.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29498216282066,26.65719164589736]}"
154,78,2472.0,2514.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38714931097132,26.65853911882354]}"
155,75,3030.0,2882.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2621038234219,26.66312052677255]}"
156,76,2087.0,1523.0,3003.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38283739760756,26.672552837255804]}"
157,70,1898.0,1402.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38822728931227,26.672552837255804]}"
158,81,2523.0,2270.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.17882999658401,26.67416980476722]}"
159,70,2605.0,3168.0,3033.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3876883001418,26.68252413690953]}"
160,77,2721.0,2414.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38283739760756,26.685758071932362]}"
161,77,2720.0,2580.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26911068263803,26.68845301778472]}"
162,81,2338.0,2020.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28177692814411,26.698424317438448]}"
163,83,2655.0,2580.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35588793908397,26.702466736216984]}"
164,81,2406.0,1864.0,3016.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.341065736896,26.7040837037284]}"
165,76,2344.0,2314.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30252801120727,26.707048144165995]}"
166,77,2641.0,2266.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2162897439318,26.707587133336467]}"
167,78,2675.0,2527.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1712841481974,26.71001258460359]}"
168,83,2457.0,2044.0,3019.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34726411235643,26.726451754302975]}"
169,79,2271.0,1974.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25078505084198,26.730494173081514]}"
170,78,2767.0,3531.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34753360694165,26.731302656837222]}"
171,74,2398.0,2480.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3898442568237,26.731302656837222]}"
172,77,2809.0,2751.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31735021339524,26.736153559371466]}"
173,78,2214.0,2314.0,3012.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38661032180086,26.73669254854194]}"
174,76,2543.0,2408.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20982187388613,26.742082440246655]}"
175,70,930.0,437.0,2996.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.341065736896,26.743699407758072]}"
176,78,2126.0,2196.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.38229840843708,26.743699407758072]}"
177,78,985.0,404.0,2999.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29713811950255,26.745855364439958]}"
178,79,2703.0,2306.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33001645890133,26.746663848195666]}"
179,81,2384.0,2668.0,3031.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.26129533966618,26.748011321121844]}"
180,78,2784.0,2827.0,3026.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31196032169052,26.74962828863326]}"
181,80,935.0,390.0,3000.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32866898597514,26.75151475072991]}"
182,75,2363.0,1904.0,3014.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.34699461777119,26.75151475072991]}"
183,79,2546.0,2450.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33244191016846,26.751784245315147]}"
184,81,2419.0,2825.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.24296970787015,26.75340121282656]}"
185,76,2116.0,1852.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25105454542722,26.753940201997032]}"
186,76,2492.0,2518.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.28204642272934,26.753940201997032]}"
187,78,1424.0,1119.0,3004.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29174822779784,26.759599588286985]}"
188,80,2339.0,2011.0,3024.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3372928127027,26.764450490821233]}"
189,76,2625.0,2653.0,3029.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33082494265703,26.78466258471392]}"
190,80,2593.0,2481.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.18637584497061,26.78654904681057]}"
191,79,2275.0,2388.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20631844427807,26.789243992662932]}"
192,76,2776.0,1366.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31357728920194,26.789243992662932]}"
193,79,1734.0,1361.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.14244822757718,26.79247792768576]}"
194,78,2437.0,2063.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.27234461766085,26.80164074358378]}"
195,76,2397.0,2169.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.33378938309463,26.802449227339487]}"
196,76,2633.0,2236.0,3027.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.23650183782448,26.802718721924723]}"
197,77,2566.0,1692.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.30360598954822,26.802718721924723]}"
198,75,2644.0,1918.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.31896718090665,26.802718721924723]}"
199,79,2422.0,2535.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.37556104380619,26.806491646118026]}"
200,86,2030.0,2324.0,3060.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.36424227122627,26.81053406489656]}"
201,76,2447.0,1441.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.37097963585718,26.357783161700326]}"
202,78,2717.0,2915.0,3057.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3200451592476,26.39712937114476]}"
203,72,3035.0,1723.0,3046.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.3771780113176,26.39766836031523]}"
204,77,2616.0,2657.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13247692792345,26.416263486696504]}"
205,80,2500.0,1910.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.35723541201014,26.424348324253582]}"
206,81,2634.0,2786.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.2162897439318,26.43297215098113]}"
207,79,2572.0,2127.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.13948378713958,26.449950309850987]}"
208,77,2704.0,2982.0,3056.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.16131284854367,26.45372323404429]}"
209,77,2805.0,2518.0,3047.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.32435707261138,26.46019110408995]}"
210,79,2430.0,2263.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.21575075476132,26.461808071601364]}"
