system:index,ir_0,ir_1,ir_2,.geo
87,2699.0,2777.0,3039.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45964335439977,26.546429371365424]}"
88,2320.0,2366.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48201140497434,26.549663306388254]}"
89,1026.0,663.0,3018.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44293469011515,26.556939660189624]}"
90,2777.0,2156.5,3044.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.52405256027114,26.559904100627218]}"
91,2885.5,2662.0,3037.5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50896086349793,26.56556348691717]}"
92,2628.0,2314.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5192016577369,26.56744994901382]}"
93,2389.0,2342.0,3054.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4688061702978,26.567988938184293]}"
94,2502.0,2406.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44832458181986,26.569875400280942]}"
95,673.0,417.0,3013.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49629461799185,26.57068388403665]}"
96,2609.0,2828.0,3043.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50815237974223,26.57149236779236]}"
97,1067.0,679.0,3020.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4981810800885,26.577151754082312]}"
98,2216.0,2196.0,3040.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46395526776355,26.577690743252784]}"
99,2691.0,2594.0,3030.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44212620635945,26.588470526662217]}"
100,2655.0,2433.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50168450969656,26.59412991295217]}"
101,2360.0,2166.0,3035.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43296339046142,26.594668902122642]}"
102,2559.0,2530.0,3042.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46072133274072,26.59655536421929]}"
103,2439.0,2133.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.42487855290435,26.597902837145472]}"
104,2942.0,3059.0,3058.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.44320418470039,26.59871132090118]}"
105,3066.0,3025.0,3055.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.45209750601317,26.599519804656886]}"
106,2777.0,3037.0,3045.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.43997024967756,26.60194525592401]}"
107,2035.0,1749.0,3022.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.5057269284751,26.607335147628728]}"
108,2583.0,2102.0,3044.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.4650332461045,26.609491104310614]}"
109,2438.0,2446.0,3050.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.49764209091803,26.616767458111983]}"
110,2746.0,2236.0,3028.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50464895013415,26.616767458111983]}"
111,2297.0,2402.0,3041.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.46179931108166,26.61946240396434]}"
112,2367.0,1622.0,3007.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.54965454586855,26.622426844401936]}"
113,2514.0,2413.0,3037.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.48901826419048,26.623235328157644]}"
114,2366.0,1967.0,3038.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.50437945554893,26.62350482274288]}"
